,state,sat_p_rate_2017,sat_r&w_2017,sat_math_2017,sat_total_2017,sat_2017_policy,act_p_rate_2017,act_total_2017,act_2017_policy,sat_p_rate_2018,sat_r&w_2018,sat_math_2018,sat_total_2018,sat_2018_policy,act_p_rate_2018,act_total_2018,act_2018_policy,sat_p_rate_2019,sat_r&w_2019,sat_math_2019,sat_total_2019,sat_2019_policy,act_p_rate_2019,act_total_2019,act_2019_policy
0,Alabama,5,593,572,1165,ACT required,100,19.2,ACT required,6,595,571,1166,ACT required,100,19.1,ACT required,7,583,560,1143,ACT required,100,18.9,ACT required
1,Alaska,38,547,533,1080,neither required,65,19.8,neither required,43,562,544,1106,neither required,33,20.8,neither required,41,556,541,1097,neither required,38,20.1,neither required
2,Arizona,30,563,553,1116,neither required,62,19.7,neither required,29,577,572,1149,neither required,66,19.2,neither required,31,569,565,1134,neither required,73,19.0,neither required
3,Arkansas,3,614,594,1208,neither required,100,19.4,neither required,5,592,576,1169,neither required,100,19.4,neither required,6,582,559,1141,neither required,100,19.3,neither required
4,California,53,531,524,1055,neither required,31,22.8,neither required,60,540,536,1076,neither required,27,22.7,neither required,63,534,531,1065,neither required,23,22.6,neither required
5,Colorado,11,606,595,1201,SAT required,100,20.8,SAT required,100,519,506,1025,SAT required,30,23.9,SAT required,100,518,506,1024,SAT required,27,23.8,SAT required
6,Connecticut,100,530,512,1041,SAT required,31,25.2,SAT required,100,535,519,1053,SAT required,26,25.6,SAT required,100,529,516,1046,SAT required,22,25.5,SAT required
7,Delaware,100,503,492,996,SAT required,18,24.1,SAT required,100,505,492,998,SAT required,17,23.8,SAT required,100,499,486,985,SAT required,13,24.1,SAT required
8,District of Columbia,100,482,468,950,neither required,32,24.2,neither required,92,497,480,977,neither required,32,23.6,neither required,94,495,480,975,neither required,32,23.5,neither required
9,Florida,83,520,497,1017,neither required,73,19.8,neither required,56,550,549,1099,neither required,66,19.9,neither required,100,516,483,999,neither required,54,20.1,neither required
10,Georgia,61,535,515,1050,neither required,55,21.4,neither required,70,542,522,1064,neither required,53,21.4,neither required,71,538,519,1058,neither required,49,21.4,neither required
11,Hawaii,55,544,541,1085,ACT required,90,19.0,ACT required,56,480,530,1010,ACT required,89,18.9,ACT required,54,550,550,1100,ACT required,80,19.0,ACT required
12,Idaho,93,513,493,1005,ACT or SAT,38,22.3,ACT or SAT,100,508,493,1001,ACT or SAT,36,22.3,ACT or SAT,100,505,488,993,ACT or SAT,31,22.5,ACT or SAT
13,Illinois,9,559,556,1115,SAT required,93,21.4,SAT required,99,513,506,1019,SAT required,43,23.9,SAT required,100,509,504,1013,SAT required,35,24.3,SAT required
14,Indiana,63,542,532,1074,neither required,35,22.6,neither required,63,542,532,1074,neither required,32,22.5,neither required,66,543,537,1080,neither required,29,22.5,neither required
15,Iowa,2,641,635,1275,neither required,67,21.9,neither required,3,634,631,1265,neither required,68,21.8,neither required,3,622,622,1244,neither required,66,21.6,neither required
16,Kansas,4,632,628,1260,neither required,73,21.7,neither required,4,633,631,1265,neither required,71,21.6,neither required,4,618,623,1241,neither required,72,21.2,neither required
17,Kentucky,4,631,616,1247,ACT required,100,20.0,ACT required,4,630,618,1248,ACT required,100,20.2,ACT required,4,620,612,1232,ACT required,100,19.8,ACT required
18,Louisiana,4,611,586,1198,ACT required,100,19.5,ACT required,4,615,595,1210,ACT required,100,19.2,ACT required,5,610,591,1200,ACT required,100,18.8,ACT required
19,Maine,95,513,499,1012,SAT required,8,24.3,SAT required,99,512,501,1013,SAT required,7,24.0,SAT required,99,512,502,1013,SAT required,6,24.3,SAT required
20,Maryland,69,536,52,1060,neither required,28,23.6,neither required,76,545,535,1080,neither required,31,22.5,neither required,82,535,523,1058,neither required,28,22.3,neither required
21,Massachusetts,76,555,551,1107,neither required,29,25.4,neither required,80,562,563,1125,neither required,25,25.5,neither required,81,559,561,1120,neither required,21,25.5,neither required
22,Michigan,100,509,495,1005,SAT required,29,24.1,SAT required,100,511,499,1011,SAT required,22,24.2,SAT required,100,507,496,1003,SAT required,19,24.4,SAT required
23,Minnesota,3,644,651,1295,neither required,100,21.5,neither required,4,643,655,1298,neither required,99,21.3,neither required,4,636,648,1284,neither required,95,21.4,neither required
24,Mississippi,2,634,607,1242,ACT required,100,18.6,ACT required,3,630,606,1236,ACT required,100,18.6,ACT required,3,628,608,1237,ACT required,100,18.4,ACT required
25,Missouri,3,640,631,1271,ACT required,100,20.4,ACT required,4,633,629,1262,ACT required,100,20.0,ACT required,4,622,615,1236,ACT required,82,20.8,ACT required
26,Montana,10,605,591,1196,ACT required,100,20.3,ACT required,10,606,592,1198,ACT required,100,20.0,ACT required,9,603,596,1199,ACT required,100,19.8,ACT required
27,Nebraska,3,629,625,1253,ACT required,84,21.4,ACT required,3,629,623,1252,ACT required,100,20.1,ACT required,3,628,631,1260,ACT required,100,20.0,ACT required
28,Nevada,26,563,553,1116,ACT required,100,17.8,ACT required,23,574,566,1140,ACT required,100,17.7,ACT required,20,580,576,1156,ACT required,100,17.9,ACT required
29,New Hampshire,96,532,520,1052,SAT required,18,25.5,SAT required,96,535,528,1063,SAT required,16,25.1,SAT required,95,533,526,1059,SAT required,14,25.0,SAT required
30,New Jersey,70,530,526,1056,neither required,34,23.9,neither required,82,547,547,1094,neither required,31,23.7,neither required,82,544,545,1090,neither required,25,24.2,neither required
31,New Mexico,11,577,561,1138,neither required,66,19.7,neither required,16,552,540,1093,neither required,67,19.4,neither required,18,543,530,1073,neither required,63,19.3,neither required
32,New York,67,528,523,1052,neither required,31,24.2,neither required,79,534,534,1068,neither required,27,24.5,neither required,79,531,533,1064,neither required,22,24.5,neither required
33,North Carolina,49,546,535,1081,ACT required,100,19.1,ACT required,52,554,543,1098,ACT required,100,19.1,ACT required,51,554,546,1100,ACT required,100,19.0,ACT required
34,North Dakota,2,635,621,1256,ACT required,98,20.3,ACT required,2,640,643,1283,ACT required,98,20.3,ACT required,2,627,636,1263,ACT required,96,19.9,ACT required
35,Ohio,12,578,570,1149,ACT or SAT,75,22.0,ACT or SAT,18,552,547,1099,ACT or SAT,100,20.3,ACT or SAT,19,550,548,1097,ACT or SAT,100,20.0,ACT or SAT
36,Oklahoma,7,530,517,1047,neither required,100,19.4,neither required,8,541,521,1062,neither required,100,19.3,neither required,22,490,472,963,neither required,100,18.9,neither required
37,Oregon,43,560,548,1108,neither required,40,21.8,neither required,48,564,553,1117,neither required,42,21.3,neither required,51,562,550,1112,neither required,42,21.1,neither required
38,Pennsylvania,65,540,531,1071,neither required,23,23.7,neither required,70,547,539,1086,neither required,20,23.5,neither required,70,545,537,1082,neither required,17,23.6,neither required
39,Rhode Island,71,539,524,1062,SAT required,21,24.0,SAT required,97,513,505,1018,SAT required,15,24.2,SAT required,100,503,492,995,SAT required,12,24.7,SAT required
40,South Carolina,50,543,521,1064,neither required,100,18.7,neither required,55,547,523,1070,neither required,100,18.3,neither required,68,526,504,1030,neither required,78,18.8,neither required
41,South Dakota,3,612,603,1216,neither required,80,21.8,neither required,3,622,618,1240,neither required,77,21.9,neither required,3,633,635,1268,neither required,75,21.6,neither required
42,Tennessee,5,623,604,1228,ACT or SAT,100,19.8,ACT or SAT,6,624,607,1231,ACT or SAT,100,19.6,ACT or SAT,7,618,602,1220,ACT or SAT,100,19.4,ACT or SAT
43,Texas,62,513,507,1020,neither required,45,20.7,neither required,66,520,512,1032,neither required,45,20.7,neither required,68,515,507,1022,neither required,39,20.5,neither required
44,Utah,3,624,614,1238,ACT required,100,20.3,ACT required,4,480,530,1010,ACT required,100,20.4,ACT required,4,614,615,1230,ACT required,100,20.3,ACT required
45,Vermont,60,562,551,1114,neither required,29,23.6,neither required,64,565,554,1120,neither required,24,24.1,neither required,66,560,546,1106,neither required,20,24.1,neither required
46,Virginia,65,561,541,1102,neither required,29,23.8,neither required,68,567,550,1117,neither required,24,23.9,neither required,68,567,551,1119,neither required,21,24.0,neither required
47,Washington,64,541,534,1075,neither required,29,21.9,neither required,69,543,538,1081,neither required,24,22.2,neither required,70,539,535,1074,neither required,24,22.1,neither required
48,West Virginia,14,558,528,1086,SAT required,69,20.4,SAT required,28,513,486,999,SAT required,65,20.3,SAT required,99,483,460,943,SAT required,49,20.8,SAT required
49,Wisconsin,3,642,649,1291,ACT required,100,20.5,ACT required,3,641,653,1294,ACT required,100,20.5,ACT required,3,635,648,1283,ACT required,100,20.3,ACT required
50,Wyoming,3,626,604,1230,ACT required,100,20.0,ACT required,3,633,625,1257,ACT required,100,20.0,ACT required,3,623,615,1238,ACT required,100,19.8,ACT required
